MOVIES,GENRE,RATING,ONE-LINE,STARS,VOTES,RunTime
1870,385,58,6988,1243,907,23
3174,163,65,2051,777,3093,59
2773,342,69,1023,743,895,42
5602,177,58,3452,1484,1485,29
3953,381,44,1432,2788,2317,122
3213,187,67,6451,281,3532,29
5155,247,57,3460,1862,2468,237
1267,382,59,3130,5443,1720,149
4960,231,44,666,6075,3573,104
5324,250,68,7011,261,691,59
1224,370,54,3566,3597,3198,96
5542,120,57,7181,6512,1776,94
2070,7,38,4955,2509,176,126
3176,161,53,52,3255,3343,130
930,109,65,3788,1125,2827,23
5807,247,48,3768,1476,79,23
5692,250,56,3580,1475,3523,64
4811,161,54,2453,3980,2678,106
5103,454,35,994,1347,3066,43
2006,374,49,318,4944,4060,102
3702,15,53,1278,3276,3347,120
646,87,34,2358,1241,1710,42
1299,225,62,1445,1827,1027,41
5705,121,69,7489,2124,1859,22
2272,110,60,1633,2374,3776,22
1943,201,51,4018,394,1683,29
5254,3,28,4075,2781,2302,105
5019,358,40,6791,3610,3661,117
1011,58,15,5148,4148,169,91
4068,369,64,1396,5476,1260,136
834,454,57,3453,1399,1434,42
2811,109,55,2860,6210,617,94
1029,53,47,381,3240,995,116
2150,344,56,6845,398,533,22
1253,5,58,4212,1157,2125,41
1455,382,33,3528,6783,3612,100
1929,30,53,159,518,1194,44
1724,7,50,7730,3598,1482,113
2824,112,71,1631,1180,3142,23
551,51,61,603,1283,1440,49
3818,105,64,1974,3558,947,111
4300,250,57,898,5364,3687,120
688,23,68,2339,363,3439,29
3798,342,55,7378,4409,2617,125
5726,201,41,842,4932,1142,85
5115,438,47,613,3245,3856,93
1899,29,29,555,4901,3960,90
1577,358,41,1133,2518,49,134
1936,128,70,1556,1472,2293,23
3424,18,44,144,4436,187,96
3825,109,59,2336,2246,2517,23
1334,84,43,1233,1245,1708,59
3043,15,59,4813,5224,1795,120
1776,163,51,243,4078,3860,109
2257,20,41,4742,951,2504,29
5467,382,50,2088,1610,55,42
4855,164,56,6580,4136,536,114
3364,109,68,5122,3746,2322,133
4428,177,51,6447,2109,2930,29
5282,5,61,2134,83,2475,59
4240,195,65,7734,287,3191,79
2863,362,59,2470,1144,2311,54
5378,4,48,4758,3849,253,124
1895,177,26,7039,4675,845,96
4579,355,58,3869,2081,385,51
329,75,41,2010,5773,127,102
5573,38,53,1806,119,1614,23
4937,242,43,5619,1538,417,23
3753,343,52,80,1526,4084,59
3002,180,64,145,2118,1812,44
1932,85,56,3444,1008,1059,59
1650,240,39,3970,1988,1712,23
3929,10,45,7488,2858,727,106
4779,120,56,1792,6513,1245,97
4116,247,57,1715,1561,2262,234
4845,383,52,1411,5853,396,153
1828,45,66,6343,1419,1396,59
4767,247,50,935,3385,1386,108
4228,83,55,5991,4888,2017,129
4968,284,75,2718,1805,4008,252
1450,29,47,3133,3417,3462,106
5587,19,31,7382,5432,353,99
4726,3,63,4392,4132,1123,132
4896,163,53,6677,4135,3799,131
5477,62,52,7335,3921,1668,112
1824,474,54,7002,5012,3430,25
4401,244,56,6398,1285,3582,54
2379,76,63,871,5864,295,100
1706,374,52,1922,2853,3072,111
4285,112,69,1228,1543,3128,23
3371,78,66,4616,6819,2997,90
5479,342,64,5860,2041,3370,52
5607,30,53,4073,5983,212,122
5143,382,55,7407,1250,1498,57
330,87,61,3454,77,2628,41
1525,3,66,3812,1948,2778,59
4712,166,56,2762,5448,504,132
4586,109,60,4224,2338,2503,23
2291,374,49,1009,5351,2092,92
5390,7,22,5422,1431,455,59
2447,230,69,5346,350,2298,29
5458,177,60,1336,661,3390,29
710,68,51,2113,3272,1065,114
3931,120,56,5362,3653,1618,106
4798,4,57,5599,426,4036,49
5001,381,49,138,5614,78,100
2385,443,50,356,4945,209,81
5058,355,52,5205,966,1542,59
4145,215,62,5698,635,3247,29
2286,342,51,2144,5479,2398,115
2470,198,49,397,528,1583,44
4455,3,39,7131,5430,198,87
4730,110,68,1523,1852,1828,21
5634,45,47,7555,5471,1346,130
2256,355,55,5564,723,2435,45
3289,6,49,1221,1867,1322,29
3077,454,34,7098,1527,3280,23
2029,187,60,5642,1370,2145,238
429,195,36,5811,3690,1931,111
4910,433,28,771,5973,3646,91
1770,264,64,433,708,3656,17
5774,164,61,3467,2144,3004,47
1102,120,51,4716,2886,3835,101
4426,29,58,1578,2668,1443,123
1532,109,56,5317,78,2986,29
4679,12,51,593,4081,1644,116
2455,260,46,151,4056,2759,114
4496,109,66,1217,2382,1841,10
3703,7,38,4188,4937,2407,113
836,385,39,2122,2693,193,93
2038,242,61,870,438,1779,44
5247,24,47,2629,4840,1038,102
4257,18,48,4372,5939,2900,110
2930,73,67,6585,3271,1817,195
3204,235,47,3185,5927,1382,105
5517,166,63,3907,775,688,51
4887,389,58,4150,4950,2524,123
4486,484,0,7788,6890,1,262
816,144,64,965,6370,2653,83
5148,120,44,1553,5929,639,90
1863,120,57,3573,6221,1648,96
5133,99,56,5598,271,3147,41
5228,231,41,6890,6029,2266,89
2793,257,55,7063,3094,1523,111
3879,163,54,6048,4890,1891,139
434,352,34,4350,3106,1403,88
2398,189,59,5913,2087,2866,29
332,164,59,851,3213,2308,93
2669,10,43,360,4086,1980,91
3093,177,65,1678,1121,993,23
3989,59,48,5033,3131,2487,107
5333,10,46,470,4495,1611,117
2195,240,68,7722,1963,2283,57
788,5,56,6271,1374,1251,214
4667,109,65,4740,1599,3267,24
5537,394,66,5689,120,1104,52
1896,377,50,249,3752,3616,106
2249,398,67,6027,222,2918,41
5322,455,38,5772,117,380,23
1788,109,64,4766,437,1413,23
1035,385,59,1917,4117,544,116
3636,177,56,3940,1324,2790,45
1171,373,41,846,4463,2846,89
4787,169,55,515,5964,955,118
4703,57,37,4021,2583,1848,117
2489,391,55,7445,1784,1521,23
4310,109,46,3257,1268,2049,23
3775,342,52,487,3644,3594,94
2556,443,38,7650,4390,1036,114
3595,3,49,6050,4163,1719,128
5469,250,62,4294,2196,431,49
2307,231,45,3340,4149,2989,103
4865,356,56,913,308,1222,39
2722,349,12,927,1297,1824,43
5168,68,44,5431,3535,1494,102
4827,120,58,3230,4729,1117,77
4484,342,60,4300,2362,3681,226
3925,187,69,2891,1866,3493,59
1458,39,55,460,5223,811,106
3344,110,70,978,2012,1192,23
951,73,51,6923,4283,2892,94
369,109,61,916,2158,2982,23
1860,3,45,1195,4268,3825,122
344,245,47,1105,6171,3161,101
2372,227,36,2992,5804,2630,102
2306,45,40,1778,4015,2249,124
968,137,69,67,300,2269,210
4688,120,66,6387,535,1607,10
4808,177,48,6332,4459,1881,82
3333,247,67,512,707,650,59
4119,195,72,2036,1315,603,69
2660,188,69,4553,1458,3658,23
2110,443,54,981,4014,211,94
5493,382,68,1580,91,2679,49
5083,342,56,328,5823,616,115
1580,369,52,3911,479,2707,212
4432,73,63,6531,5753,452,181
5315,144,66,7494,3741,1999,85
5097,65,48,511,5550,3931,106
2395,247,43,1141,3362,2694,106
3875,34,44,7349,6389,3700,112
1780,128,64,3427,316,2051,29
4130,391,54,1920,1955,1234,42
2788,231,53,3479,4266,2306,128
4678,247,39,4899,1420,1520,24
5209,240,55,1946,5331,3021,124
1816,394,53,808,2437,3753,118
3164,385,51,388,5548,1968,105
1794,231,40,7404,5466,974,97
754,240,59,461,1305,3810,46
1381,383,48,4822,1465,2683,29
1410,3,51,3784,495,944,59
1596,376,49,1266,2815,3549,129
4371,18,51,7300,4080,604,108
5688,29,49,1309,925,126,43
4229,383,38,525,5812,2452,105
5280,9,47,968,6550,2111,86
4415,247,60,5353,2258,3864,59
5090,164,57,5328,3499,2525,123
1622,7,32,6787,5491,638,118
2352,120,47,2875,3604,3302,96
5700,29,42,7090,3178,2101,110
1903,338,70,3105,2239,1725,39
5377,36,47,553,4127,3492,114
952,236,67,6849,551,2953,21
1544,109,66,2399,2376,513,22
2785,5,52,738,2190,1037,59
3629,5,57,1406,2850,191,119
3638,187,64,278,2057,337,29
5812,247,65,4047,2396,977,59
1631,82,57,7022,3325,90,94
4053,282,54,2754,76,3375,47
2311,342,59,601,571,2106,231
448,385,57,6616,2428,1275,100
3407,192,51,4292,2577,1300,110
5330,41,61,6405,1091,2499,49
5288,195,55,1232,5847,4042,98
5136,373,37,7482,4142,2573,89
2670,109,59,5768,1778,3092,23
3001,120,57,1376,6318,990,84
2147,394,52,6708,1674,705,50
5792,245,59,938,2122,3911,51
660,355,47,3914,3587,2844,129
1016,195,60,1373,2828,956,114
3668,166,50,1219,3061,2354,121
2936,187,48,311,5365,3271,101
3036,342,55,4367,5813,608,84
402,206,43,5496,4747,3826,94
2052,373,57,5763,1766,816,44
5292,240,67,2389,5428,1974,128
1743,68,51,7365,4938,1515,114
548,163,61,3949,1962,1857,211
541,385,61,6356,2066,2857,69
2156,165,65,263,4466,1731,92
761,177,50,6783,4399,1231,85
4114,29,70,718,1938,3772,49
2196,18,66,2063,472,2265,59
2026,438,59,7428,3705,1598,107
1999,195,58,6937,506,324,29
2016,385,48,3162,5133,902,100
4469,187,70,2946,1573,2967,21
2993,177,65,2583,5901,2433,93
1273,394,53,7330,194,3174,36
2425,338,63,7236,2927,2689,119
5376,180,55,2124,353,3834,29
1313,250,60,226,1244,826,42
1252,45,48,1405,5107,4086,107
3979,58,39,1855,5202,3906,106
5211,247,46,365,3135,1749,92
1447,29,28,667,2430,3742,100
4280,139,70,933,1685,1342,22
1249,247,52,4737,397,780,197
2180,204,36,1522,1613,2440,22
3648,187,66,3471,1207,624,29
1630,177,53,4307,1563,442,29
5667,109,66,6651,496,1833,199
5079,481,31,4291,6353,3622,97
2397,382,51,4217,3659,3791,112
3170,177,64,4930,822,1235,20
4303,342,70,6390,632,3216,44
3456,264,65,519,6675,2629,84
1526,177,43,5450,3169,280,101
4820,121,68,7054,1780,1092,25
2924,187,49,705,5063,2157,101
4788,83,68,5425,1694,1452,59
5113,3,32,2107,3552,2801,118
5149,362,63,2459,1935,2324,52
5370,5,52,61,863,12,23
1434,3,60,279,305,711,59
313,40,47,6479,3803,1992,97
4824,231,49,664,2699,3899,100
1617,356,58,7071,5112,2870,127
5747,443,50,7460,2431,3995,94
991,342,69,946,2054,1345,57
4990,247,57,707,2857,1433,117
3812,21,39,7383,3018,549,104
3064,383,45,7267,4553,1130,94
5163,82,63,4958,2971,3420,193
3025,29,48,590,2777,3084,128
4112,29,41,4884,3239,3281,108
1494,120,57,7251,6674,2430,97
1771,43,42,499,2790,2932,94
4434,2,69,4208,1102,479,228
3707,94,47,1128,5549,1262,129
4190,452,58,2516,220,3516,48
570,385,49,6586,2880,1584,106
5528,137,69,4151,2345,701,23
1068,18,44,1047,3303,2738,99
5404,127,58,6615,2178,3177,25
3161,76,52,1416,416,2234,29
4199,481,33,1328,5227,434,117
5567,29,61,7073,1849,2972,59
3166,438,32,1218,5087,275,88
477,28,37,2368,2878,277,85
4961,231,42,4199,6076,1572,133
1347,92,49,3506,5747,2836,153
4612,36,44,1487,5105,1075,107
4051,342,61,1366,2532,669,134
3699,29,52,7282,5603,181,115
3613,84,46,1073,2150,4033,38
3577,5,41,5063,3223,1629,137
4613,36,46,602,4137,3243,106
5635,247,50,1342,1365,752,59
3051,29,60,1966,2617,1964,121
948,187,57,146,6135,1193,97
5389,120,43,918,4374,1793,86
4835,12,50,4967,5724,1948,102
4106,68,33,1117,4616,3386,123
3124,177,31,6829,2733,3017,100
4239,5,50,5641,5845,1288,135
1651,163,62,743,1482,837,42
1329,177,56,2895,812,3851,29
1262,7,36,1289,4688,4076,112
5616,394,47,1964,988,567,54
3780,120,46,721,1109,2592,8
806,39,54,3919,3683,1365,131
4768,58,39,5190,4285,4110,101
1227,128,62,268,947,3353,22
5099,391,47,1568,118,2144,44
4026,247,64,4489,2099,1378,59
352,459,33,5179,5648,3506,113
824,192,58,233,4115,682,103
3543,385,47,4088,3378,737,116
4934,383,50,774,4328,9,99
1700,371,41,207,3095,2062,97
1883,377,46,152,2436,2950,94
2377,29,46,348,5811,3476,99
4500,177,72,2896,734,3411,29
5502,195,46,7136,606,2107,46
5037,82,62,5645,1447,1354,54
3718,120,62,5217,5188,3418,102
1967,120,61,526,3737,496,100
3232,4,41,2546,3323,3748,97
2098,342,60,6249,1725,2818,23
2688,132,68,6475,239,3425,23
4829,365,60,6610,649,449,215
3125,375,54,5978,3609,2752,93
5091,193,43,1277,5511,1609,129
2456,437,38,1696,6078,2960,100
1034,29,45,2677,5103,3643,115
4171,177,19,307,6541,3453,87
4467,189,70,4104,796,600,59
5199,390,35,3982,652,3788,47
5165,19,42,6715,1322,2566,22
923,250,52,2104,819,136,44
4126,355,56,5897,990,1460,59
2756,18,43,5324,4417,1441,89
2762,24,39,1284,5423,3939,99
4642,109,38,5896,1979,1088,9
1282,264,77,2028,1695,241,256
5363,109,55,5618,2027,1658,32
4915,87,30,7457,1680,799,215
1848,29,54,1050,2974,3774,105
4237,187,71,3838,1077,1906,83
3588,177,62,7166,1350,800,29
5192,247,55,5292,122,20,49
4644,180,61,1718,1456,3999,23
4659,443,41,5113,3157,764,81
1674,247,52,2462,935,3607,55
5157,201,49,2832,494,2202,29
2783,120,66,1104,6757,272,95
3153,121,63,1444,3742,487,102
2348,264,45,416,6447,908,83
3665,366,50,4320,3631,1704,128
3450,120,60,1722,259,1186,21
