MOVIES,GENRE,RATING,ONE-LINE,STARS,VOTES,RunTime,primera_letra
It,"
Horror            ",7.3,"
In the summer of 1989, a group of bullied kids band together to destroy a shape-shifting monster, which disguises itself as a clown and preys on the children of Derry, their small Maine town.","
    Director:
Andy Muschietti
| 
    Stars:
Bill Skarsgård, 
Jaeden Martell, 
Finn Wolfhard, 
Sophia Lillis
",480607,135.0,I
"Love, Death & Robots","
Animation, Short, Comedy            ",8.5,"
A collection of animated short stories that span various genres including science fiction, fantasy, horror and comedy.","
            
    Stars:
Scott Whyte, 
Nolan North, 
Steven Pacey, 
Emily O'Brien
",120364,15.0,L
Hostage House,"
Thriller            ",3.7,"
When an ambitious realtor and her daughter are held hostage during an open house, they must work together to outsmart their captors.","
    Director:
David Benullo
| 
    Stars:
Jennifer Taylor, 
Julia Terranova, 
Emily Sweet, 
Justin C. Schilling
",315,85.0,H
L.A.'s Finest,"
Action, Comedy, Crime            ",6,"
The spinoff series of Bad Boys films focuses on drug enforcement agent Sydney Burnett, now working for the Los Angeles Police Department.","
            
    Stars:
Jessica Alba, 
Gabrielle Union, 
Duane Martin, 
Zach Gilford
",5667,60.0,L
Iron Fist,"
Action, Adventure, Crime            ",6.5,"
A young man is bestowed with incredible martial arts skills and a mystical force known as the Iron Fist.","
            
    Stars:
Finn Jones, 
Jessica Henwick, 
Jessica Stroup, 
Tom Pelphrey
",118859,55.0,I
Haseen Dillruba,"
Crime, Drama, Mystery            ",6.9,"
Under investigation as a suspect in her husband's murder, a wife reveals details of their thorny marriage that seem to only further blur the truth.","
    Director:
Vinil Mathew
| 
    Stars:
Taapsee Pannu, 
Vikrant Massey, 
Harshvardhan Rane, 
Aditya Srivastav
",18149,135.0,H
Hannibal,"
Crime, Drama, Horror            ",8.5,"
Explores the early relationship between renowned psychiatrist Hannibal Lecter and a young FBI criminal profiler who is haunted by his ability to empathize with serial killers.","
            
    Stars:
Hugh Dancy, 
Mads Mikkelsen, 
Caroline Dhavernas, 
Laurence Fishburne
",236161,44.0,H
Longmire,"
Action, Crime, Drama            ",8.3,"
Walt Longmire is the dedicated and unflappable sheriff of Absaroka County, Wyoming. Widowed only a year, he is a man in psychic repair but buries his pain behind his brave face, unassuming grin and dry wit.","
            
    Stars:
Robert Taylor, 
Katee Sackhoff, 
Lou Diamond Phillips, 
Cassidy Freeman
",30685,60.0,L
Jujutsu Kaisen,"
Animation, Action, Adventure            ",8.7,"
A boy swallows a cursed talisman - the finger of a demon - and becomes cursed himself. He enters a shaman's school to be able to locate the demon's other body parts and thus exorcise himself.","
            
    Stars:
Junya Enoki, 
Adam McArthur, 
Yûichi Nakamura, 
Yuma Uchida
",25386,24.0,J
Jumanji: The Next Level,"
Action, Adventure, Comedy            ",6.7,"
In Jumanji: The Next Level, the gang is back but the game has changed. As they return to rescue one of their own, the players will have to brave parts unknown from arid deserts to snowy mountains, to escape the world's most dangerous game.","
    Director:
Jake Kasdan
| 
    Stars:
Dwayne Johnson, 
Jack Black, 
Kevin Hart, 
Karen Gillan
",205638,123.0,J
I Care a Lot,"
Comedy, Crime, Thriller            ",6.3,"
A crooked legal guardian who drains the savings of her elderly wards meets her match when a woman she tries to swindle turns out to be more than she first appears.","
    Director:
J Blakeson
| 
    Stars:
Rosamund Pike, 
Peter Dinklage, 
Eiza González, 
Dianne Wiest
",109059,118.0,I
Love and Monsters,"
Action, Adventure, Comedy            ",7,"
Seven years after he survived the monster apocalypse, lovably hapless Joel leaves his cozy underground bunker behind on a quest to reunite with his ex.","
    Director:
Michael Matthews
| 
    Stars:
Dylan O'Brien, 
Jessica Henwick, 
Michael Rooker, 
Dan Ewing
",100693,109.0,L
NCIS: Los Angeles,"
Action, Crime, Drama            ",6.7,"
The Naval Criminal Investigation Service's Office of Special Projects takes on the undercover work and the hard to crack cases in LA. Key agents are G. Callen and Sam Hanna, streets kids risen through the ranks.","
            
    Stars:
Chris O'Donnell, 
Daniela Ruah, 
Barrett Foa, 
LL Cool J
",49943,43.0,N
Jupiter's Legacy,"
Action, Adventure, Drama            ",6.7,"
The first generation of superheroes has kept the world safe for nearly a century. Now their children must live up to their legacy in an epic drama that spans decades and navigates the dynamics of family, power and loyalty.","
            
    Stars:
Josh Duhamel, 
Ben Daniels, 
Leslie Bibb, 
Andrew Horton
",31953,56.0,J
Naruto,"
Animation, Action, Adventure            ",8.3,"
Naruto Uzumaki, a mischievous adolescent ninja, struggles as he searches for recognition and dreams of becoming the Hokage, the village's leader and strongest ninja.","
            
    Stars:
Junko Takeuchi, 
Maile Flanagan, 
Kate Higgins, 
Chie Nakamura
",79832,24.0,N
Luther,"
Crime, Drama, Mystery            ",8.4,"
DCI John Luther is a near-genius murder detective whose brilliant mind can't always save him from the dangerous violence of his passions.","
            
    Stars:
Idris Elba, 
Dermot Crowley, 
Michael Smiley, 
Warren Brown
",125749,60.0,L
Murdoch Mysteries,"
Crime, Drama, Mystery            ",8.1,"
In the 1890s, William Murdoch uses radical forensic techniques for the time, including fingerprinting and trace evidence, to solve some of the city's most gruesome murders.","
            
    Stars:
Yannick Bisson, 
Helene Joy, 
Thomas Craig, 
Jonny Harris
",11437,48.0,M
Kong: Skull Island,"
Action, Adventure, Fantasy            ",6.6,"
After the Vietnam war, a team of scientists explores an uncharted island in the Pacific, venturing into the domain of the mighty Kong, and must fight to escape a primal Eden.","
    Director:
Jordan Vogt-Roberts
| 
    Stars:
Tom Hiddleston, 
Samuel L. Jackson, 
Brie Larson, 
John C. Reilly
",294292,118.0,K
Hagane no renkinjutsushi,"
Animation, Action, Adventure            ",9.1,"
Two brothers search for a Philosopher's Stone after an attempt to revive their deceased mother goes awry and leaves them in damaged physical forms.","
            
    Stars:
Kent Williams, 
Iemasa Kayumi, 
Vic Mignogna, 
Romi Pak
",134855,24.0,H
Kim's Convenience,"
Comedy            ",8.2,"
The misadventures of a Korean-Canadian family running a convenience store.","
            
    Stars:
Paul Sun-Hyung Lee, 
Jean Yoon, 
Andrea Bang, 
Simu Liu
",12443,22.0,K
Love Is Blind,"
Reality-TV, Romance            ",6.1,"
Singles who want to be loved for who they are, rather than what they look like, have signed up for a less conventional approach to modern dating.","
            
    Stars:
Heather Ashley Chase, 
Nick Lachey, 
Vanessa Lachey, 
Kenny Barnes
",5342,48.0,L
Legally Blonde,"
Comedy, Romance            ",6.3,"
Elle Woods, a fashionable sorority queen, is dumped by her boyfriend. She decides to follow him to law school. While she is there, she figures out that there is more to her than just looks.","
    Director:
Robert Luketic
| 
    Stars:
Reese Witherspoon, 
Luke Wilson, 
Selma Blair, 
Matthew Davis
",195752,96.0,L
Jessica Jones,"
Action, Crime, Drama            ",7.9,"
Following the tragic end of her brief superhero career, Jessica Jones tries to rebuild her life as a private investigator, dealing with cases involving people with remarkable abilities in New York City.","
            
    Stars:
Krysten Ritter, 
Rachael Taylor, 
Eka Darville, 
Carrie-Anne Moss
",198056,56.0,J
How to Become a Tyrant,"
Documentary, Biography, History            ",7.4,"
Ruling with an iron fist requires an aspiring dictator to know the playbook for absolute power, as history's despots prove in this sardonic docuseries.","
            
    Stars:
Peter Dinklage, 
Bruce Bueno de Mesquita, 
Waller Newell, 
Ruth Ben-Ghiat
",3700,24.0,H
Narcos: México,"
Crime, Drama            ",8.4,"
The rise of the Guadalajara Cartel as an American DEA agent learns the danger of targeting narcos in Mexico.","
            
    Stars:
Scoot McNairy, 
Diego Luna, 
José María Yazpik, 
Fermín Martínez
",64838,50.0,N
Nanatsu no taizai,"
Animation, Action, Adventure            ",8,"
The legend of the confrontation between the Seven Deadly Sins and the Holy Knights.","
            
    Stars:
Bryce Papenbrook, 
Erika Harlacher, 
Max Mittelman, 
Cristina Valenzuela
",26282,24.0,N
My Unorthodox Life,"
Reality-TV            ",5.1,"
The personal and professional life of fashion mogul Julia Haart - former member of an ultra-Orthodox Jewish community turned CEO of Elite World Group.","
            
    Stars:
David Green, 
Batsheva Haart
",742,24.0,M
News of the World,"
Action, Adventure, Drama            ",6.8,"
A Civil War veteran agrees to deliver a girl, taken by the Kiowa people years ago, to her aunt and uncle, against her will. They travel hundreds of miles and face grave dangers as they search for a place that either can call home.","
    Director:
Paul Greengrass
| 
    Stars:
Tom Hanks, 
Helena Zengel, 
Tom Astor, 
Travis Johnson
",69037,118.0,N
Mother!,"
Drama, Horror, Mystery            ",6.6,"
A couple's relationship is tested when uninvited guests arrive at their home, disrupting their tranquil existence.","
    Director:
Darren Aronofsky
| 
    Stars:
Jennifer Lawrence, 
Javier Bardem, 
Ed Harris, 
Michelle Pfeiffer
",201141,121.0,M
National Lampoon's Animal House,"
Comedy            ",7.5,"
At a 1962 college, Dean Vernon Wormer is determined to expel the entire Delta Tau Chi Fraternity, but those troublemakers have other plans for him.","
    Director:
John Landis
| 
    Stars:
John Belushi, 
Karen Allen, 
Tom Hulce, 
Stephen Furst
",115289,109.0,N
Honest Thief,"
Action, Crime, Drama            ",6,"
Wanting to lead an honest life, a notorious bank robber turns himself in, only to be double-crossed by two ruthless FBI agents.","
    Director:
Mark Williams
| 
    Stars:
Liam Neeson, 
Kate Walsh, 
Jai Courtney, 
Jeffrey Donovan
",40186,99.0,H
Midnight in Paris,"
Comedy, Fantasy, Romance            ",7.7,"
While on a trip to Paris with his fiancée's family, a nostalgic screenwriter finds himself mysteriously going back to the 1920s every day at midnight.","
    Director:
Woody Allen
| 
    Stars:
Owen Wilson, 
Rachel McAdams, 
Kathy Bates, 
Kurt Fuller
",399157,94.0,M
Lost in Space,"
Adventure, Drama, Family            ",7.3,"
After crash-landing on an alien planet, the Robinson family fight against all odds to survive and escape, but they're surrounded by hidden dangers.","
            
    Stars:
Maxwell Jenkins, 
Molly Parker, 
Toby Stephens, 
Taylor Russell
",76255,60.0,L
Kill Bill: Vol. 2,"
Action, Crime, Thriller            ",8,"
The Bride continues her quest of vengeance against her former boss and lover Bill, the reclusive bouncer Budd, and the treacherous, one-eyed Elle.","
    Director:
Quentin Tarantino
| 
    Stars:
Uma Thurman, 
David Carradine, 
Michael Madsen, 
Daryl Hannah
",706053,137.0,K
Moneyball,"
Biography, Drama, Sport            ",7.6,"
Oakland A's general manager Billy Beane's successful attempt to assemble a baseball team on a lean budget by employing computer-generated analysis to acquire new players.","
    Director:
Bennett Miller
| 
    Stars:
Brad Pitt, 
Robin Wright, 
Jonah Hill, 
Philip Seymour Hoffman
",386263,133.0,M
Locke & Key,"
Drama, Fantasy, Horror            ",7.4,"
After their father is murdered under mysterious circumstances, the three Locke siblings and their mother move into their ancestral home, Keyhouse, which they discover is full of magical keys that may be connected to their father's death.","
            
    Stars:
Darby Stanchfield, 
Connor Jessup, 
Emilia Jones, 
Jackson Robert Scott
",47717,48.0,L
Kimi no na wa.,"
Animation, Drama, Fantasy            ",8.4,"
Two strangers find themselves linked in a bizarre way. When a connection forms, will distance be the only thing to keep them apart?","
    Director:
Makoto Shinkai
| 
    Stars:
Ryûnosuke Kamiki, 
Mone Kamishiraishi, 
Ryô Narita, 
Aoi Yûki
",217433,106.0,K
Jaws 2,"
Adventure, Horror, Thriller            ",5.8,"
Police chief Brody must protect the citizens of Amity after a second monstrous shark begins terrorizing the waters.","
    Director:
Jeannot Szwarc
| 
    Stars:
Roy Scheider, 
Lorraine Gary, 
Murray Hamilton, 
Joseph Mascolo
",73931,116.0,J
Marcella,"
Crime, Drama, Mystery            ",7.4,"
Marcella Backland left the Metropolitan Police for the sake of her family, only to have her husband leave her. She returns to her job on the murder squad, investigating a case that seems disturbingly familiar to her.","
            
    Stars:
Anna Friel, 
Ray Panthaki, 
Jack Doolan, 
Jamie Bamber
",26485,45.0,M
Hell or High Water,"
Action, Crime, Drama            ",7.6,"
A divorced father and his ex-con older brother resort to a desperate scheme in order to save their family's ranch in West Texas.","
    Director:
David Mackenzie
| 
    Stars:
Chris Pine, 
Ben Foster, 
Jeff Bridges, 
Gil Birmingham
",211816,102.0,H
Marriage Story,"
Comedy, Drama, Romance            ",7.9,"
Noah Baumbach's incisive and compassionate look at a marriage breaking up and a family staying together.","
    Director:
Noah Baumbach
| 
    Stars:
Adam Driver, 
Scarlett Johansson, 
Julia Greer, 
Azhy Robertson
",266307,137.0,M
Haikyuu!!,"
Animation, Comedy, Drama            ",8.7,"
Determined to be like the volleyball championship's star player Shouyou, a short boy nicknamed ""the small giant,"" joins his school's volleyball club.","
            
    Stars:
Ayumu Murase, 
Kaito Ishikawa, 
Yu Hayashi, 
Satoshi Hino
",15250,24.0,H
Love,"
Comedy, Drama, Romance            ",7.7,"
A program that follows a couple who must navigate the exhilarations and humiliations of intimacy, commitment and other things they were hoping to avoid.","
            
    Stars:
Gillian Jacobs, 
Paul Rust, 
Claudia O'Doherty, 
Mike Mitchell
",39010,50.0,L
Lo imposible,"
Drama, History, Thriller            ",7.6,"
The story of a tourist family in Thailand caught in the destruction and chaotic aftermath of the 2004 Indian Ocean tsunami.","
    Director:
J.A. Bayona
| 
    Stars:
Naomi Watts, 
Ewan McGregor, 
Tom Holland, 
Oaklee Pendergast
",208903,114.0,L
Moonrise Kingdom,"
Comedy, Drama, Romance            ",7.8,"
A pair of young lovers flee their New England town, which causes a local search party to fan out to find them.","
    Director:
Wes Anderson
| 
    Stars:
Jared Gilman, 
Kara Hayward, 
Bruce Willis, 
Bill Murray
",328550,94.0,M
Nashville,"
Drama, Music, Romance            ",7.7,"
Follows the lives and tragedies of rising and fading country music stars in Nashville, Tennessee.","
            
    Stars:
Hayden Panettiere, 
Clare Bowen, 
Charles Esten, 
Jonathan Jackson
",23735,43.0,N
Halston,"
Biography, Drama            ",7.5,"
The story of a man who leverages his single, invented name into a worldwide fashion empire that's synonymous with luxury, sex, status and fame, literally defining the era.","
            
    Stars:
Ewan McGregor, 
Rebecca Dayan, 
David Pittu, 
Krysta Rodriguez
",10460,240.0,H
Misfits,"
Comedy, Drama, Fantasy            ",8.2,"
A group of young offenders doing community service get struck by lightning during a storm, and begin to develop superpowers.","
            
    Stars:
Nathan Stewart-Jarrett, 
Joe Gilgun, 
Iwan Rheon, 
Lauren Socha
",95735,60.0,M
Medici,"
Biography, Drama, History            ",7.9,"
A political family drama set in Florence in the early fifteenth century. Cosimo de Medici finds himself at the helm of his banking dynasty when his father, Giovanni, dies suddenly.","
            
    Stars:
Daniel Sharman, 
Alessandra Mastronardi, 
Synnove Karlsen, 
Sebastian De Souza
",16659,60.0,M
I'm Thinking of Ending Things,"
Drama, Thriller            ",6.6,"
Full of misgivings, a young woman travels with her new boyfriend to his parents' secluded farm. Upon arriving, she comes to question everything she thought she knew about him, and herself.","
    Director:
Charlie Kaufman
| 
    Stars:
Jesse Plemons, 
Jessie Buckley, 
Toni Collette, 
David Thewlis
",71640,134.0,I
Homefront,"
Action, Crime, Thriller            ",6.5,"
A former DEA agent moves his family to a quiet town, where he soon tangles with a local meth druglord.","
    Director:
Gary Fleder
| 
    Stars:
Jason Statham, 
James Franco, 
Winona Ryder, 
Kate Bosworth
",113476,100.0,H
Lucy,"
Action, Sci-Fi, Thriller            ",6.4,"
A woman, accidentally caught in a dark deal, turns the tables on her captors and transforms into a merciless warrior evolved beyond human logic.","
    Director:
Luc Besson
| 
    Stars:
Scarlett Johansson, 
Morgan Freeman, 
Choi Min-sik, 
Amr Waked
",462122,89.0,L
Luke Cage,"
Action, Crime, Drama            ",7.3,"
When a sabotaged experiment gives him super strength and unbreakable skin, Luke Cage becomes a fugitive attempting to rebuild his life in Harlem and must soon confront his past and fight a battle for the heart of his city.","
            
    Stars:
Mike Colter, 
Simone Missick, 
Theo Rossi, 
Alfre Woodard
",120187,55.0,L
Knock Knock,"
Drama, Thriller            ",4.9,"
A devoted father helps two stranded young women who knock on his door, but his kind gesture turns into a dangerous seduction and a deadly game of cat and mouse.","
    Director:
Eli Roth
| 
    Stars:
Keanu Reeves, 
Lorenza Izzo, 
Ana de Armas, 
Aaron Burns
",87474,99.0,K
Madam Secretary,"
Drama            ",7.6,"
A political drama which looks into the life of the Secretary of State as she tries to balance work with family.","
            
    Stars:
Téa Leoni, 
Tim Daly, 
Erich Bergen, 
Zeljko Ivanek
",20755,45.0,M
Hauru no ugoku shiro,"
Animation, Adventure, Family            ",8.2,"
When an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle.","
    Director:
Hayao Miyazaki
| 
    Stars:
Chieko Baishô, 
Takuya Kimura, 
Tatsuya Gashûin, 
Akihiro Miwa
",351466,119.0,H
Now You See Me,"
Crime, Mystery, Thriller            ",7.2,"
An F.B.I. Agent and an Interpol Detective track a team of illusionists who pull off bank heists during their performances, and reward their audiences with the money.","
    Director:
Louis Leterrier
| 
    Stars:
Jesse Eisenberg, 
Common, 
Mark Ruffalo, 
Woody Harrelson
",614056,115.0,N
Hell's Kitchen,"
Game-Show, Reality-TV            ",7.1,"
World renowned chef Gordon Ramsay puts aspiring young chefs through rigorous cooking challenges and dinner services at his restaurant in Hollywood, ""Hell's Kitchen"".","
            
    Stars:
Gordon Ramsay, 
Jean Philippe Susilovic, 
Scott Leibfried, 
Jason Thompson
",19419,42.0,H
Marco Polo,"
Adventure, Drama, History            ",8,"
In a world replete with greed, betrayal, sexual intrigue and rivalry, ""Marco Polo"" is based on the famed explorer's adventures in Kublai Khan's court in 13th century Mongolia.","
            
    Stars:
Lorenzo Richelmy, 
Benedict Wong, 
Joan Chen, 
Remy Hii
",67083,60.0,M
Maniac,"
Comedy, Drama, Sci-Fi            ",7.8,"
Two strangers are drawn to a mysterious pharmaceutical trial for a drug that will, they're assured, with no complications or side-effects whatsoever, solve all of their problems permanently. Things do not go as planned.","
            
    Stars:
Jonah Hill, 
Emma Stone, 
Sonoya Mizuno, 
Justin Theroux
",69384,386.0,M
