MOVIES,GENRE,RATING,ONE-LINE,STARS,VOTES,RunTime,primera_letra
Billions,"
Drama            ",8.4,"
U.S. Attorney Chuck Rhoades goes after hedge fund king Bobby ""Axe"" Axelrod in a battle between two powerful New York figures.","
            
    Stars:
Paul Giamatti, 
Damian Lewis, 
Maggie Siff, 
David Costabile
",74094,60.0,B
Agents of S.H.I.E.L.D.,"
Action, Adventure, Drama            ",7.5,"
The missions of the Strategic Homeland Intervention, Enforcement and Logistics Division.","
            
    Stars:
Clark Gregg, 
Ming-Na Wen, 
Brett Dalton, 
Iain De Caestecker
",205119,45.0,A
Don't Breathe,"
Crime, Horror, Thriller            ",7.1,"
Hoping to walk away with a massive fortune, a trio of thieves break into the house of a blind man who isn't as helpless as he seems.","
    Director:
Fede Alvarez
| 
    Stars:
Stephen Lang, 
Jane Levy, 
Dylan Minnette, 
Daniel Zovatto
",237601,88.0,D
Arrow,"
Action, Adventure, Crime            ",7.5,"
Spoiled billionaire playboy Oliver Queen is missing and presumed dead when his yacht is lost at sea. He returns five years later a changed man, determined to clean up the city as a hooded vigilante armed with a bow.","
            
    Stars:
Stephen Amell, 
Katie Cassidy, 
David Ramsey, 
Susanna Thompson
",414712,42.0,A
Gossip Girl,"
Drama, Romance            ",7.4,"
Privileged teens living on the Upper East Side of New York can hide no secret from the ruthless blogger who is always watching.","
            
    Stars:
Blake Lively, 
Leighton Meester, 
Penn Badgley, 
Ed Westwick
",159666,42.0,G
Bridgerton,"
Drama, Romance            ",7.3,"
Wealth, lust, and betrayal set against the backdrop of Regency-era England, seen through the eyes of the powerful Bridgerton family.","
            
    Stars:
Phoebe Dynevor, 
Regé-Jean Page, 
Nicola Coughlan, 
Jonathan Bailey
",83944,60.0,B
CSI: Crime Scene Investigation,"
Crime, Drama, Mystery            ",7.6,"
Series following an elite team of police forensic evidence investigation experts as they work their cases in Las Vegas.","
            
    Stars:
Laurence Fishburne, 
Marg Helgenberger, 
George Eads, 
Eric Szmanda
",78589,60.0,C
BoJack Horseman,"
Animation, Comedy, Drama            ",8.7,"
BoJack Horseman was the star of the hit television show ""Horsin' Around"" in the '80s and '90s, but now he's washed up, living in Hollywood, complaining about everything, and wearing colorful sweaters.","
            
    Stars:
Will Arnett, 
Amy Sedaris, 
Alison Brie, 
Aaron Paul
",124318,25.0,B
Good Witch,"
Comedy, Drama, Fantasy            ",7.3,"
""Good Witch"" will take viewers on a new magical journey with Cassie Nightingale and her daughter Grace. When Dr. Sam Radford moves in next door to Grey House with his son, they are charmed by the 'magical' mother-daughter duo.","
            
    Stars:
Catherine Bell, 
Catherine Disher, 
James Denton, 
Kylee Evans
",8268,48.0,G
Arrested Development,"
Comedy            ",8.7,"
Level-headed son Michael Bluth takes over family affairs after his father is imprisoned. But the rest of his spoiled, dysfunctional family are making his job unbearable.","
            
    Stars:
Jason Bateman, 
Michael Cera, 
Portia de Rossi, 
Will Arnett
",284373,22.0,A
Escape Room,"
Action, Adventure, Horror            ",6.4,"
Six strangers find themselves in a maze of deadly mystery rooms and must use their wits to survive.","
    Director:
Adam Robitel
| 
    Stars:
Taylor Russell, 
Logan Miller, 
Jay Ellis, 
Tyler Labine
",99351,99.0,E
Avatar: The Last Airbender,"
Animation, Action, Adventure            ",9.3,"
In a war-torn world of elemental magic, a young boy reawakens to undertake a dangerous mystic quest to fulfill his destiny as the Avatar, and bring peace to the world.","
            
    Stars:
Dee Bradley Baker, 
Zach Tyler, 
Mae Whitman, 
Jack De Sena
",265845,23.0,A
Fatherhood,"
Comedy, Drama            ",6.7,"
A father brings up his baby girl as a single dad after the unexpected death of his wife who died a day after their daughter's birth.","
    Director:
Paul Weitz
| 
    Stars:
Kevin Hart, 
Alfre Woodard, 
Lil Rel Howery, 
DeWanda Wise
",26508,109.0,F
Blue Bloods,"
Crime, Drama, Mystery            ",7.6,"
Revolves around a family of New York cops.","
            
    Stars:
Donnie Wahlberg, 
Bridget Moynahan, 
Will Estes, 
Len Cariou
",34064,43.0,B
Black Summer,"
Action, Drama, Horror            ",6.5,"
In the dark, early days of a zombie apocalypse, complete strangers band together to find the strength they need to survive and get back to loved ones.","
            
    Stars:
Jaime King, 
Justin Chu Cary, 
Christine Lee, 
Zoe Marlett
",25453,40.0,B
Gone Girl,"
Drama, Mystery, Thriller            ",8.1,"
With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.","
    Director:
David Fincher
| 
    Stars:
Ben Affleck, 
Rosamund Pike, 
Neil Patrick Harris, 
Tyler Perry
",895888,149.0,G
American Psycho,"
Comedy, Crime, Drama            ",7.6,"
A wealthy New York City investment banking executive, Patrick Bateman, hides his alternate psychopathic ego from his co-workers and friends as he delves deeper into his violent, hedonistic fantasies.","
    Director:
Mary Harron
| 
    Stars:
Christian Bale, 
Justin Theroux, 
Josh Lucas, 
Bill Sage
",517014,101.0,A
Demon Slayer: Kimetsu No Yaiba,"
Animation, Action, Fantasy            ",8.7,"
A family is attacked by demons and only two members survive - Tanjiro and his sister Nezuko, who is turning into a demon slowly. Tanjiro sets out to become a demon slayer to avenge his family and cure his sister.","
            
    Stars:
Natsuki Hanae, 
Zach Aguilar, 
Abby Trott, 
Akari Kitô
",46259,25.0,D
Glee,"
Comedy, Drama, Music            ",6.7,"
A group of ambitious misfits try to escape the harsh realities of high school by joining a glee club headed by a passionate Spanish teacher.","
            
    Stars:
Lea Michele, 
Jane Lynch, 
Matthew Morrison, 
Cory Monteith
",139934,44.0,G
Bo Burnham: Inside,"
Comedy, Drama, Music            ",8.7,"
A musical comedy special shot and performed by Bo Burnham, alone, over the course of a very unusual year.","
    Director:
Bo Burnham
| 
    Stars:
Bo Burnham, 
Socko
",31108,87.0,B
Bartkowiak,"
Action, Crime, Sport            ",5,"
After his brother dies in a car crash, a disgraced MMA fighter takes over the family nightclub and soon learns his sibling's death wasn't an accident.","
    Director:
Daniel Markowicz
| 
    Stars:
Józef Pawlowski, 
Zofia Domalik, 
Szymon Bobrowski, 
Bartlomiej Topa
",398,91.0,B
Castlevania,"
Animation, Action, Adventure            ",8.3,"
A vampire hunter fights to save a besieged city from an army of otherworldly creatures controlled by Dracula.","
            
    Stars:
Richard Armitage, 
James Callis, 
Alejandra Reynoso, 
Theo James
",51802,23.0,C
Dawson's Creek,"
Drama, Romance            ",6.6,"
Four friends in a small coastal town help each other cope with adolescence.","
            
    Stars:
James Van Der Beek, 
Katie Holmes, 
Michelle Williams, 
Joshua Jackson
",38117,60.0,D
Archer,"
Animation, Action, Comedy            ",8.6,"
Covert black ops and espionage take a back seat to zany personalities and relationships between secret agents and drones.","
            
    Stars:
H. Jon Benjamin, 
Judy Greer, 
Amber Nash, 
Chris Parnell
",141784,22.0,A
Clueless,"
Comedy, Romance            ",6.8,"
Shallow, rich and socially successful Cher is at the top of her Beverly Hills high school's pecking scale. Seeing herself as a matchmaker, Cher first coaxes two teachers into dating each other.","
    Director:
Amy Heckerling
| 
    Stars:
Alicia Silverstone, 
Stacey Dash, 
Brittany Murphy, 
Paul Rudd
",194461,97.0,C
Baywatch,"
Action, Comedy, Crime            ",5.5,"
Devoted lifeguard Mitch Buchannon butts heads with a brash new recruit, as they uncover a criminal plot that threatens the future of the bay.","
    Director:
Seth Gordon
| 
    Stars:
Dwayne Johnson, 
Zac Efron, 
Alexandra Daddario, 
Priyanka Chopra Jonas
",170844,116.0,B
Broadchurch,"
Crime, Drama, Mystery            ",8.4,"
The murder of a young boy in a small coastal town brings a media frenzy, which threatens to tear the community apart.","
            
    Stars:
David Tennant, 
Olivia Colman, 
Jodie Whittaker, 
Andrew Buchan
",100611,48.0,B
Fast & Furious 7,"
Action, Adventure, Thriller            ",7.1,"
Deckard Shaw seeks revenge against Dominic Toretto and his family for his comatose brother.","
    Director:
James Wan
| 
    Stars:
Vin Diesel, 
Paul Walker, 
Dwayne Johnson, 
Jason Statham
",371194,137.0,F
Good on Paper,"
Comedy, Romance            ",5.6,"
After years of putting her career first, a stand-up comic meets a guy who seems perfect: smart, nice, successful and possibly too good to be true.","
    Director:
Kimmy Gatewood
| 
    Stars:
Iliza Shlesinger, 
Britney Young, 
Christopher Nicholas Smith, 
Adam Lustick
",8099,92.0,G
Baby Driver,"
Action, Crime, Drama            ",7.6,"
After being coerced into working for a crime boss, a young getaway driver finds himself taking part in a heist doomed to fail.","
    Director:
Edgar Wright
| 
    Stars:
Ansel Elgort, 
Jon Bernthal, 
Jon Hamm, 
Eiza González
",468655,113.0,B
Dynasty,"
Drama            ",7.3,"
Follows two of America's wealthiest families as they feud for control over their fortune and their children.","
            
    Stars:
Elizabeth Gillies, 
Rafael de la Fuente, 
Robert Christopher Riley, 
Sam Adegoke
",16666,42.0,D
Awake,"
Action, Adventure, Drama            ",4.8,"
After a devastating global event wiped out all electronics and eliminated people's ability to sleep, a former soldier may have found a solution with her daughter.","
    Director:
Mark Raso
| 
    Stars:
Gina Rodriguez, 
Ariana Greenblatt, 
Lucius Hoyos, 
Shamier Anderson
",16262,96.0,A
Arrival,"
Drama, Sci-Fi            ",7.9,"
A linguist works with the military to communicate with alien lifeforms after twelve mysterious spacecraft appear around the world.","
    Director:
Denis Villeneuve
| 
    Stars:
Amy Adams, 
Jeremy Renner, 
Forest Whitaker, 
Michael Stuhlbarg
",623912,116.0,A
Grease,"
Musical, Romance            ",7.2,"
Good girl Sandy Olsson and greaser Danny Zuko fell in love over the summer. When they unexpectedly discover they're now in the same high school, will they be able to rekindle their romance?","
    Director:
Randal Kleiser
| 
    Stars:
John Travolta, 
Olivia Newton-John, 
Stockard Channing, 
Jeff Conaway
",250587,110.0,G
El inocente,"
Crime, Drama, Mystery            ",7.9,"
An accidental killing leads a man down a dark hole of intrigue and murder. Just as he finds love and freedom, one phone call brings back the nightmare.","
            
    Stars:
Mario Casas, 
Xavi Sáez, 
Santi Pons, 
Sam Feuer
",19980,467.0,E
Ginny & Georgia,"
Comedy, Drama            ",7.5,"
Ginny Miller, an angsty fifteen-year-old, often feels more mature than her thirty-year-old mother, the irresistible and dynamic Georgia Miller.","
            
    Stars:
Brianne Howey, 
Antonia Gentry, 
Diesel La Torraca, 
Jennifer Robertson
",35247,24.0,G
Designated Survivor,"
Action, Drama, Mystery            ",7.5,"
A low-level Cabinet member becomes President of the United States after a catastrophic attack kills everyone above him in the line of succession.","
            
    Stars:
Kiefer Sutherland, 
Adan Canto, 
Italia Ricci, 
Kal Penn
",81326,60.0,D
Dirty John,"
Crime, Drama            ",7.2,"
Anthology series in which each season is based on a true crime story featuring an epic tale of love gone wrong.","
            
    Stars:
Connie Britton, 
Christian Slater, 
Eric Bana, 
Amanda Peet
",18088,44.0,D
Captain America: Civil War,"
Action, Adventure, Sci-Fi            ",7.8,"
Political involvement in the Avengers' affairs causes a rift between Captain America and Iron Man.","
    Directors:
Anthony Russo, 
Joe Russo
| 
    Stars:
Chris Evans, 
Robert Downey Jr., 
Scarlett Johansson, 
Sebastian Stan
",697750,147.0,C
Death Note: Desu nôto,"
Animation, Crime, Drama            ",9,"
An intelligent high school student goes on a secret crusade to eliminate criminals from the world after discovering a notebook capable of killing anyone whose name is written into it.","
            
    Stars:
Mamoru Miyano, 
Brad Swaile, 
Vincent Tong, 
Ryô Naitô
",262556,24.0,D
Black Sails,"
Adventure, Drama            ",8.2,"
Follows Captain Flint and his pirates twenty years prior to Robert Louis Stevenson's classic novel ""Treasure Island.""","
            
    Stars:
Jessica Parker Kennedy, 
Toby Stephens, 
Hannah New, 
Zach McGowan
",96550,56.0,B
Grimm,"
Crime, Drama, Fantasy            ",7.8,"
A homicide detective discovers he is a descendant of hunters who fight supernatural forces.","
            
    Stars:
David Giuntoli, 
Russell Hornsby, 
Silas Weir Mitchell, 
Sasha Roiz
",111716,45.0,G
Elementary,"
Crime, Drama, Mystery            ",7.9,"
A modern take on the cases of Sherlock Holmes, with the detective now living in New York City.","
            
    Stars:
Jonny Lee Miller, 
Lucy Liu, 
Aidan Quinn, 
Jon Michael Hill
",103707,60.0,E
Altered Carbon,"
Action, Drama, Sci-Fi            ",8,"
Set in a future where consciousness is digitized and stored, a prisoner returns to life in a new body and must solve a mind-bending murder to win his freedom.","
            
    Stars:
Chris Conner, 
Renée Elise Goldsberry, 
Dichen Lachman, 
Will Yun Lee
",149002,60.0,A
Enterprise,"
Action, Adventure, Drama            ",7.5,"
A century before Captain Kirk's five-year mission, Jonathan Archer captains the United Earth ship Enterprise during the early years of Starfleet, leading up to the Earth-Romulan War and the formation of the Federation.","
            
    Stars:
Scott Bakula, 
John Billingsley, 
Jolene Blalock, 
Dominic Keating
",48148,60.0,E
Black Clover,"
Animation, Action, Adventure            ",8.3,"
Asta and Yuno were abandoned together at the same church and have been inseparable since. As children, they promised that they would compete against each other to see who would become the next Emperor Magus.","
            
    Stars:
Dallas Reid, 
Cris George, 
Jill Harris, 
Christopher Sabat
",13218,24.0,B
American Crime Story,"
Biography, Crime, Drama            ",8.4,"
An anthology series centered around America's most notorious crimes and criminals.","
            
    Stars:
Sarah Paulson, 
Annaleigh Ashford, 
Sterling K. Brown, 
Kenneth Choi
",83137,42.0,A
Bloodline,"
Drama, Thriller            ",7.9,"
A family finds themselves forced to face their past secrets and scars when the black sheep returns home.","
            
    Stars:
Kyle Chandler, 
Ben Mendelsohn, 
Linda Cardellini, 
Sissy Spacek
",46111,60.0,B
Grace and Frankie,"
Comedy            ",8.3,"
Finding out that their husbands are not just work partners, but have also been romantically involved for the last twenty years, two women with an already strained relationship try to cope with the circumstances together.","
            
    Stars:
Jane Fonda, 
Lily Tomlin, 
Sam Waterston, 
Martin Sheen
",41520,30.0,G
American Vandal,"
Comedy, Crime, Drama            ",8.2,"
A true-crime satire that explores the aftermath of a costly high school prank that left twenty-seven faculty cars vandalized with phallic images.","
            
    Stars:
Tyler Alvarez, 
Griffin Gluck, 
Jimmy Tatro, 
Travis Tope
",28093,34.0,A
Cheers,"
Comedy, Drama            ",7.9,"
The regulars of the Boston bar ""Cheers"" share their experiences and lives with each other while drinking or working at the bar where everybody knows your name.","
            
    Stars:
Ted Danson, 
Rhea Perlman, 
John Ratzenberger, 
George Wendt
",49886,22.0,C
America: The Motion Picture,"
Animation, Action, Adventure            ",5.7,"
A chainsaw-wielding George Washington teams with beer-loving bro Sam Adams to take down the Brits in a tongue-in-cheek riff on the American Revolution.","
    Director:
Matt Thompson
| 
    Stars:
Channing Tatum, 
Jason Mantzoukas, 
Olivia Munn, 
Bobby Moynihan
",4485,98.0,A
Below Deck Mediterranean,"
Reality-TV            ",7.3,"
A reality show following the crew of the Ionian Princess, a luxury charter yacht in the Mediterranean.","
            
    Stars:
Hannah Ferrier, 
Sandy Yawn, 
Malia White, 
João Franco
",1327,43.0,B
Dead to Me,"
Comedy, Crime, Drama            ",8,"
A series about a powerful friendship that blossoms between a tightly wound widow and a free spirit with a shocking secret.","
            
    Stars:
Christina Applegate, 
Linda Cardellini, 
Sam McCarthy, 
Luke Roessler
",61944,30.0,D
Adventure Time,"
Animation, Action, Adventure            ",8.6,"
A 12-year-old boy and his best friend, wise 28-year-old dog with magical powers, go on a series of surreal adventures with each other in a remote future.","
            
    Stars:
John DiMaggio, 
Jeremy Shada, 
Tom Kenny, 
Hynden Walch
",81525,11.0,A
Anne,"
Drama, Family            ",8.7,"
The adventures of a young orphan girl living in the late 19th century. Follow Anne as she learns to navigate her new life on Prince Edward Island, in this new take on L.M. Montgomery's classic novels.","
            
    Stars:
Amybeth McNulty, 
Geraldine James, 
R.H. Thomson, 
Dalila Bela
",43433,60.0,A
Batman v Superman: Dawn of Justice,"
Action, Adventure, Sci-Fi            ",6.4,"
Fearing that the actions of Superman are left unchecked, Batman takes on the Man of Steel, while the world wrestles with what kind of a hero it really needs.","
    Director:
Zack Snyder
| 
    Stars:
Ben Affleck, 
Henry Cavill, 
Amy Adams, 
Jesse Eisenberg
",657423,152.0,B
Cider no yô ni kotoba ga wakiagaru,"
Animation, Drama, Romance            ",7,"
A meeting and romance starts between two people with communication issues - a boy who wears headphones and uses haiku poems, and a shy girl who wears a mask and only does online videos.","
    Director:
Kyohei Ishiguro
| 
    Stars:
Somegorô Ichikawa, 
Hana Sugisaki, 
Kimberley Wong, 
Victoria Grace
",941,87.0,C
Emily in Paris,"
Comedy, Drama, Romance            ",7,"
A young American woman from the Midwest is hired by a marketing firm in Paris to provide them with an American perspective on things.","
            
    Stars:
Lily Collins, 
Philippine Leroy-Beaulieu, 
Ashley Park, 
Lucas Bravo
",55757,30.0,E
After Life,"
Comedy, Drama            ",8.4,"
After Tony's wife dies unexpectedly, his nice-guy persona is altered into an impulsive, devil-may-care attitude; taking his old world by storm.","
            
    Stars:
Ricky Gervais, 
Tom Basden, 
Tony Way, 
Diane Morgan
",91972,30.0,A
Bates Motel,"
Drama, Horror, Mystery            ",8.1,"
A contemporary prequel to Psycho, giving a portrayal of how Norman Bates' psyche unravels through his teenage years, and how deeply intricate his relationship with his mother, Norma, truly is.","
            
    Stars:
Vera Farmiga, 
Freddie Highmore, 
Max Thieriot, 
Nicola Peltz
",100394,45.0,B
Behind Her Eyes,"
Drama, Mystery, Thriller            ",7.2,"
It follows Louise, a single mom with a son and a part-time job in a psychiatrist's office. She begins an affair with her boss and strikes up an unlikely friendship with his wife.","
            
    Stars:
Simona Brown, 
Eve Hewson, 
Tom Bateman, 
Robert Aramayo
",47174,298.0,B
Biohackers,"
Drama, Sci-Fi, Thriller            ",6.8,"
A fast-paced thriller following medical student Mia Akerlund who discovers the use of highly advanced biohacking technology in her university town.","
            
    Stars:
Luna Wedler, 
Jessica Schwarz, 
Adrian Julius Tillmann, 
Caro Cult
",7563,44.0,B
Extraction,"
Action, Thriller            ",6.7,"
Tyler Rake, a fearless black market mercenary, embarks on the most deadly extraction of his career when he's enlisted to rescue the kidnapped son of an imprisoned international crime lord.","
    Director:
Sam Hargrave
| 
    Stars:
Chris Hemsworth, 
Bryon Lerum, 
Ryder Lerum, 
Rudhraksh Jaiswal
",174406,116.0,E
Californication,"
Comedy, Drama            ",8.3,"
A writer tries to juggle his career, his relationship with his daughter and his ex-girlfriend, as well as his appetite for beautiful women.","
            
    Stars:
David Duchovny, 
Natascha McElhone, 
Evan Handler, 
Pamela Adlon
",174076,28.0,C
Beastars,"
Animation, Crime, Drama            ",7.8,"
In a world of anthropomorphic animals, a reclusive wolf's complicated relationship with a kindly rabbit is tested by a classmate's murder, a charismatic deer's influence, and his own burgeoning predatory instincts.","
            
    Stars:
Chikahiro Kobayashi, 
Jonah Scott, 
Daman Mills, 
Lara Jill Miller
",7429,23.0,B
Big Mouth,"
Animation, Comedy, Romance            ",7.9,"
Teenage friends find their lives upended by the wonders and horrors of puberty.","
            
    Stars:
Nick Kroll, 
John Mulaney, 
Jessi Klein, 
Jason Mantzoukas
",61304,30.0,B
